=== GPU-AWARE EXPERIMENT SCHEDULER ===
[ROOT] /home/tahiti/PromptStressLab
[PYTHON_BIN] /home/tahiti/Forensics/.venv_forensics/bin/python
[ALLOWED_GPUS] [0]
[MAX_PARALLEL_MODELS] 1
[POLL_SECONDS] 30
[MAX_START_UTILIZATION] 20
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2787, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2787, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2786, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2786, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=96% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2785, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2785, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2784, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2783, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2783, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2783, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2783, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2782, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2782, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2782, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2781, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2781, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2781, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2780, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2780, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2780, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.7GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2780, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2779, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2778, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=90% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2778, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2777, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2777, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2776, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2775, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=82% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2775, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.7GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2775, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2774, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2773, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=87% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2773, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=88% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2773, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=84% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2773, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.9GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2773, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=2.0GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2772, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=86% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2771, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=85% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2771, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=83% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2771, qwen3_8b=2842
[SCHEDULER_HEARTBEAT] running=[] | gpu0:free=1.8GiB util=89% | remaining: gemma_3_12b_it=2842, mistral_7b_instruct_v03=2770, qwen3_8b=2842
