model_id,dataset,phase,condition,documents,entity_exact_f1_mean,entity_exact_f1_median,entity_exact_f1_std,entity_exact_f1_p95,entity_partial_f1_mean,entity_partial_f1_median,entity_partial_f1_std,entity_partial_f1_p95,relation_exact_f1_mean,relation_exact_f1_median,relation_exact_f1_std,relation_exact_f1_p95,hallucinated_entity_rate_mean,hallucinated_entity_rate_median,hallucinated_entity_rate_std,hallucinated_entity_rate_p95,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_std,prompt_tokens_p95,output_tokens_mean,output_tokens_median,output_tokens_std,output_tokens_p95,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_median,seconds_per_item_in_batch_std,seconds_per_item_in_batch_p95,json_valid_mean,json_valid_median,json_valid_std,json_valid_p95,schema_valid_mean,schema_valid_median,schema_valid_std,schema_valid_p95,truncated_at_limit_mean,truncated_at_limit_median,truncated_at_limit_std,truncated_at_limit_p95
gemma_3_12b_it,SciER,main,P4,16,0.12271004695862445,0.110905093200315,0.08348238313535188,0.24864079490063742,0.1369883541723481,0.1356692549592381,0.0890412151392448,0.28015248093988254,0.032988119802908486,0.018716577540106902,0.0355118896456009,0.08652553763440853,0.14819505388312126,0.060661764705882346,0.2513273164710907,0.5416666666666667,4345.5,3516.0,1954.6754888386631,8585.0,2048.0,2048.0,0.0,2048.0,168.55596131250002,166.4055625,5.82394473693661,180.68823025,1.0,1.0,0.0,1.0,0.8125,1.0,0.4031128874149275,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,main,P5,16,0.15124191426765546,0.15028529641989036,0.07471714428276312,0.24080330330330324,0.17159641664668174,0.181981231606419,0.07950207089385758,0.2774560274560274,0.04204954874072675,0.0290675903388878,0.043422843767167936,0.10702489837398373,0.0948957049828729,0.10499999999999995,0.08222407422448492,0.2,4620.5,3791.0,1954.6754888386631,8860.0,2048.0,2048.0,0.0,2048.0,169.244323,167.77745900000002,5.6457442451119,181.52191075,1.0,1.0,0.0,1.0,0.9375,1.0,0.25,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciER,main,P6,16,0.12915837349390574,0.11656271429970935,0.06833048423084132,0.2324622745675377,0.1489276148928297,0.15194244604316545,0.07371899837089275,0.24227877385772117,0.043873798678395734,0.037525532535745504,0.03435106954623565,0.10638006571741503,0.11023869035686003,0.11542730299667034,0.09419061574386045,0.2385714285714285,4784.5,3955.0,1954.6754888386631,9024.0,2048.0,2048.0,0.0,2048.0,169.088450125,167.1691235,5.9203687175025825,182.198103,1.0,1.0,0.0,1.0,0.9375,1.0,0.25,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciERC,ablation,A2,100,0.38631906931461324,0.3944444444444444,0.16439663440933364,0.6666666666666665,0.4411557615823435,0.45307917888563043,0.1730346779846195,0.7149350649350649,0.10859588004137322,0.0833333333333333,0.12379717064300341,0.3529411764705882,0.003927327387746943,0.0,0.013754540325327188,0.041964285714285635,1206.76,1197.5,59.64086457516128,1317.05,768.0,768.0,0.0,768.0,34.696176220000005,34.867757,1.0017928947101133,35.70126,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciERC,ablation,A3,100,0.27589973643392485,0.2952069716775599,0.2225175162369724,0.5833333333333334,0.3152775119569332,0.3227906976744186,0.24160032004614782,0.6666666666666667,0.04562880412214776,0.0,0.09527060548134055,0.2872180451127819,0.0038095238095238082,0.0,0.01957834451090704,0.0,611.76,602.5,59.640864575161274,722.05,768.0,768.0,0.0,768.0,31.82292648,31.415608499999998,1.423205660196304,34.52288325,1.0,1.0,0.0,1.0,0.72,1.0,0.45126085985421294,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciERC,ablation,A4,100,0.2388486416760119,0.21240601503759393,0.19520890196493884,0.5605714285714285,0.28532649872520166,0.2904040404040404,0.22162970026509746,0.644047619047619,0.05965818260848547,0.0,0.11373126518456551,0.30809716599190284,0.003124999999999999,0.0,0.01598807343049671,0.0,579.76,570.5,59.64086457516128,690.05,768.0,768.0,0.0,768.0,31.37668756,30.8269885,1.4313973568260538,34.3122821,1.0,1.0,0.0,1.0,0.76,1.0,0.42923469599092784,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciERC,ablation,A5,100,0.2494396662463942,0.2352941176470588,0.18816305130018504,0.5629464285714285,0.3008233868890558,0.32038123167155425,0.20333253211399813,0.6251785714285715,0.06399594414300296,0.0,0.11604187018595734,0.28809523809523796,0.007017328861369108,0.0,0.028437052457117265,0.059007352941176455,1510.76,1501.5,59.640864575161274,1621.05,768.0,768.0,0.0,768.0,34.7389825,35.0113245,1.1500559268430022,35.817998700000004,1.0,1.0,0.0,1.0,0.81,1.0,0.3942772444036626,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciERC,ablation,A6,100,0.3844698363441716,0.37797619047619047,0.1746575625782949,0.6557471264367817,0.4427934643309544,0.46060606060606063,0.18465998748361795,0.6951923076923076,0.1061004519584076,0.09307359307359306,0.11714674717611863,0.3166666666666666,0.0052515770873156255,0.0,0.02168560760423673,0.042214912280701664,1370.76,1361.5,59.640864575161274,1481.05,768.0,768.0,0.0,768.0,34.564115799999996,34.793769999999995,1.1381230673597136,35.88561785,1.0,1.0,0.0,1.0,0.97,1.0,0.1714466079977653,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciERC,ablation_alias,A0,100,0.22672063460631503,0.2068965517241379,0.1995242675195458,0.5602051282051281,0.2682181109067507,0.3053613053613053,0.2249763498609184,0.6167582417582417,0.044565822976174306,0.0,0.09343575242817832,0.2614624505928853,0.003246965452847805,0.0,0.016452592875501937,0.0,470.76,461.5,59.640864575161274,581.05,768.0,768.0,0.0,768.0,30.972348209999996,30.397015,1.572706937893134,33.98308275,1.0,1.0,0.0,1.0,0.71,1.0,0.4560480215720686,1.0,1.0,1.0,0.0,1.0
gemma_3_12b_it,SciERC,ablation_alias,A1,100,0.36170976831770807,0.3613053613053613,0.14223051442255485,0.5725868725868726,0.41806106873901316,0.43961352657004826,0.14777433630235964,0.6126984126984126,0.11344284019610072,0.069047619047619,0.13840958994071273,0.35404411764705873,0.0052167501538210904,0.0,0.017504928087670395,0.04786967418546363,755.76,746.5,59.64086457516128,866.05,768.0,768.0,0.0,768.0,32.7842558,32.768076,1.3241138837750621,35.0816879,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
