model_id,dataset,record_id,transition,left_condition,right_condition,field_count,psi,left_json_valid,right_json_valid,left_schema_valid,right_schema_valid,both_schema_valid,schema_break,delta_entity_exact_f1,abs_delta_entity_exact_f1,delta_entity_partial_f1,abs_delta_entity_partial_f1,delta_relation_exact_f1,abs_delta_relation_exact_f1
gemma_3_12b_it,EBM-NLP,11401641,P4->P5,P4,P5,3,0.04741815725962321,1,1,1,1,1,0,-0.027300303336703635,0.027300303336703635,0.1031344792719921,0.1031344792719921,0.0,0.0
gemma_3_12b_it,EBM-NLP,11401641,P5->P6,P5,P6,3,0.017655213673909504,1,1,1,1,1,0,-0.0434782608695653,0.0434782608695653,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11454878,P1->P2,P1,P2,3,0.0014989376068115234,1,1,1,1,1,0,0.01904761904761909,0.01904761904761909,-0.0634920634920636,0.0634920634920636,0.0,0.0
gemma_3_12b_it,EBM-NLP,11454878,P2->P3,P2,P3,3,0.00029712915420532227,1,1,1,1,1,0,-0.04761904761904759,0.04761904761904759,0.0,0.0,0.0,0.0
gemma_3_12b_it,EBM-NLP,11454878,P3->P4,P3,P4,3,0.047736565272013344,1,1,1,1,1,0,0.30427764326069406,0.30427764326069406,0.2631154156577887,0.2631154156577887,0.0,0.0
gemma_3_12b_it,EBM-NLP,11454878,P4->P5,P4,P5,3,0.05402245124181112,1,1,1,1,1,0,-0.3098147418210485,0.3098147418210485,-0.27197477335435566,0.27197477335435566,0.0,0.0
gemma_3_12b_it,EBM-NLP,11454878,P5->P6,P5,P6,3,0.000750124454498291,1,1,1,1,1,0,-0.04208194905869328,0.04208194905869328,-0.03875968992248058,0.03875968992248058,0.0,0.0
gemma_3_12b_it,EBM-NLP,11495215,P1->P2,P1,P2,3,0.005098859469095866,1,1,1,1,1,0,0.1661538461538462,0.1661538461538462,0.060000000000000164,0.060000000000000164,0.0,0.0
gemma_3_12b_it,EBM-NLP,11495215,P2->P3,P2,P3,3,0.006782968839009603,1,1,1,1,1,0,-0.1460869565217392,0.1460869565217392,-0.08173913043478265,0.08173913043478265,0.0,0.0
gemma_3_12b_it,EBM-NLP,11495215,P3->P4,P3,P4,3,0.007546703020731608,1,1,1,1,1,0,-0.053913043478260814,0.053913043478260814,0.04173913043478261,0.04173913043478261,0.0,0.0
