model_id,dataset,transition,grouping,target,n,spearman_rho,p_value,p_holm,significant_holm_005
mistral_7b_instruct_v03,SciER,P1->P2,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.6656826910773896,0.004881363029708761,0.034169541207961326,1
mistral_7b_instruct_v03,SciER,P1->P2,model_id+dataset+transition,delta_entity_partial_f1,16,0.24253236337339754,0.36543698708134076,1.0,0
mistral_7b_instruct_v03,SciER,P1->P2,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.7305913168285061,0.0013071512733006233,0.010457210186404987,1
mistral_7b_instruct_v03,SciER,P1->P2,model_id+dataset+transition,delta_relation_exact_f1,16,0.04619081359762129,0.865116212398787,1.0,0
mistral_7b_instruct_v03,SciER,P1->P2,model_id+dataset+transition,abs_delta_relation_exact_f1,16,0.2124777425490579,0.4294968939224315,1.0,0
mistral_7b_instruct_v03,SciER,P2->P3,model_id+dataset+transition,delta_entity_exact_f1,16,-0.1963104442467187,0.4661963065510991,1.0,0
mistral_7b_instruct_v03,SciER,P2->P3,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.4664218073831812,0.06858180281845619,0.20574540845536857,0
mistral_7b_instruct_v03,SciER,P2->P3,model_id+dataset+transition,delta_entity_partial_f1,16,-0.17712220533538528,0.5116711705297172,1.0,0
mistral_7b_instruct_v03,SciER,P2->P3,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.4959421749390787,0.05073283558461572,0.15219850675384716,0
mistral_7b_instruct_v03,SciER,P2->P3,model_id+dataset+transition,delta_relation_exact_f1,16,0.4425072414840822,0.08609338519274462,1.0,0
mistral_7b_instruct_v03,SciER,P2->P3,model_id+dataset+transition,abs_delta_relation_exact_f1,16,0.04322894899045208,0.8736985310459011,1.0,0
mistral_7b_instruct_v03,SciER,P3->P4,model_id+dataset+transition,delta_entity_exact_f1,16,-0.3173453339852008,0.23104119135153847,1.0,0
mistral_7b_instruct_v03,SciER,P3->P4,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.18155105153571952,0.5009963628240346,0.5009963628240346,0
mistral_7b_instruct_v03,SciER,P3->P4,model_id+dataset+transition,delta_entity_partial_f1,16,-0.2553522919973941,0.3398262486456173,1.0,0
mistral_7b_instruct_v03,SciER,P3->P4,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.04280471946777127,0.8749288845840075,0.8749288845840075,0
mistral_7b_instruct_v03,SciER,P3->P4,model_id+dataset+transition,delta_relation_exact_f1,16,-0.3698001308168194,0.15860495605931188,1.0,0
mistral_7b_instruct_v03,SciER,P3->P4,model_id+dataset+transition,abs_delta_relation_exact_f1,16,0.21571674297647797,0.422328879807059,1.0,0
mistral_7b_instruct_v03,SciER,P4->P5,model_id+dataset+transition,delta_entity_exact_f1,16,-0.5323102668725208,0.03378557283563775,1.0,0
mistral_7b_instruct_v03,SciER,P4->P5,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.653289872979912,0.006065686025603281,0.036394116153619684,1
mistral_7b_instruct_v03,SciER,P4->P5,model_id+dataset+transition,delta_entity_partial_f1,16,-0.5126510808800698,0.04230470177131879,1.0,0
mistral_7b_instruct_v03,SciER,P4->P5,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.7636837635529063,0.0005752131501909297,0.005176918351718367,1
mistral_7b_instruct_v03,SciER,P4->P5,model_id+dataset+transition,delta_relation_exact_f1,16,-0.23031256243080103,0.3908131339071561,1.0,0
mistral_7b_instruct_v03,SciER,P4->P5,model_id+dataset+transition,abs_delta_relation_exact_f1,16,0.2287350791264805,0.39415659962137883,1.0,0
mistral_7b_instruct_v03,SciER,P5->P6,model_id+dataset+transition,delta_entity_exact_f1,16,0.2494879352290378,0.35141186283554693,1.0,0
mistral_7b_instruct_v03,SciER,P5->P6,model_id+dataset+transition,abs_delta_entity_exact_f1,16,0.8732077733016322,1.0037769705674381e-05,0.00015056654558511572,1
mistral_7b_instruct_v03,SciER,P5->P6,model_id+dataset+transition,delta_entity_partial_f1,16,0.21430373923519916,0.42544821489014706,1.0,0
mistral_7b_instruct_v03,SciER,P5->P6,model_id+dataset+transition,abs_delta_entity_partial_f1,16,0.8892005896624681,4.082186477442049e-06,6.123279716163073e-05,1
mistral_7b_instruct_v03,SciER,P5->P6,model_id+dataset+transition,delta_relation_exact_f1,16,-0.17475934065852364,0.5174091187655759,1.0,0
mistral_7b_instruct_v03,SciER,P5->P6,model_id+dataset+transition,abs_delta_relation_exact_f1,16,0.24029409340546998,0.37001521286432737,1.0,0
mistral_7b_instruct_v03,SciERC,P1->P2,model_id+dataset+transition,delta_entity_exact_f1,100,-0.2699813168015561,0.006597427830270894,0.27049454104110665,0
mistral_7b_instruct_v03,SciERC,P1->P2,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.8335120184741178,5.3837505317805085e-27,2.3150127286656187e-25,1
mistral_7b_instruct_v03,SciERC,P1->P2,model_id+dataset+transition,delta_entity_partial_f1,100,-0.22394870506774173,0.025099928276445856,0.9537972745049426,0
mistral_7b_instruct_v03,SciERC,P1->P2,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.8112090360720856,1.4368018127833357e-24,5.459846888576675e-23,1
mistral_7b_instruct_v03,SciERC,P1->P2,model_id+dataset+transition,delta_relation_exact_f1,100,-0.041229922915275094,0.6837958382490481,1.0,0
mistral_7b_instruct_v03,SciERC,P1->P2,model_id+dataset+transition,abs_delta_relation_exact_f1,100,0.14472058104435676,0.15083579275716164,1.0,0
mistral_7b_instruct_v03,SciERC,P2->P3,model_id+dataset+transition,delta_entity_exact_f1,100,-0.1435017724615256,0.15434243408346293,1.0,0
mistral_7b_instruct_v03,SciERC,P2->P3,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.7878251946418253,2.3883498444326396e-22,9.278881800371635e-21,1
mistral_7b_instruct_v03,SciERC,P2->P3,model_id+dataset+transition,delta_entity_partial_f1,100,-0.12812560325488898,0.20394550236739356,1.0,0
mistral_7b_instruct_v03,SciERC,P2->P3,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.8071125625734813,3.6996368121927736e-24,1.3688656205113262e-22,1
mistral_7b_instruct_v03,SciERC,P2->P3,model_id+dataset+transition,delta_relation_exact_f1,100,-0.0002813508519590503,0.9977833715194795,1.0,0
mistral_7b_instruct_v03,SciERC,P2->P3,model_id+dataset+transition,abs_delta_relation_exact_f1,100,0.14691728185633945,0.1446671452501664,1.0,0
mistral_7b_instruct_v03,SciERC,P3->P4,model_id+dataset+transition,delta_entity_exact_f1,100,0.5259125781486057,1.921371332707704e-08,8.454033863913898e-07,1
mistral_7b_instruct_v03,SciERC,P3->P4,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.613226481175951,1.1833551714230892e-11,3.1950589628423407e-10,1
mistral_7b_instruct_v03,SciERC,P3->P4,model_id+dataset+transition,delta_entity_partial_f1,100,0.5418698274321238,5.81062922509895e-09,2.4985705667925483e-07,1
mistral_7b_instruct_v03,SciERC,P3->P4,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.658245155884741,9.911277021525254e-14,2.8742703362423234e-12,1
mistral_7b_instruct_v03,SciERC,P3->P4,model_id+dataset+transition,delta_relation_exact_f1,100,0.008086664325535656,0.9363555677337014,1.0,0
mistral_7b_instruct_v03,SciERC,P3->P4,model_id+dataset+transition,abs_delta_relation_exact_f1,100,-0.035374621468478584,0.7267829242405524,1.0,0
mistral_7b_instruct_v03,SciERC,P4->P5,model_id+dataset+transition,delta_entity_exact_f1,100,0.15496369379077987,0.12368970238193543,1.0,0
mistral_7b_instruct_v03,SciERC,P4->P5,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.4869967317790037,2.77817794051747e-07,5.000720292931446e-06,1
mistral_7b_instruct_v03,SciERC,P4->P5,model_id+dataset+transition,delta_entity_partial_f1,100,0.14413406256512165,0.15251573182965034,1.0,0
mistral_7b_instruct_v03,SciERC,P4->P5,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.5570216775235761,1.7593335762610537e-09,3.166800437269897e-08,1
mistral_7b_instruct_v03,SciERC,P4->P5,model_id+dataset+transition,delta_relation_exact_f1,100,0.11398431574443463,0.2588146420848871,1.0,0
mistral_7b_instruct_v03,SciERC,P4->P5,model_id+dataset+transition,abs_delta_relation_exact_f1,100,-0.1500405788880823,0.1362267541623183,1.0,0
mistral_7b_instruct_v03,SciERC,P5->P6,model_id+dataset+transition,delta_entity_exact_f1,100,0.0887213421993556,0.3800567908290923,1.0,0
mistral_7b_instruct_v03,SciERC,P5->P6,model_id+dataset+transition,abs_delta_entity_exact_f1,100,0.6609922864919663,7.20898928726882e-14,2.3068765719260224e-12,1
mistral_7b_instruct_v03,SciERC,P5->P6,model_id+dataset+transition,delta_entity_partial_f1,100,0.11301505619513037,0.26291288159468895,1.0,0
mistral_7b_instruct_v03,SciERC,P5->P6,model_id+dataset+transition,abs_delta_entity_partial_f1,100,0.6525506085784865,1.8975808148743769e-13,5.313226281648255e-12,1
mistral_7b_instruct_v03,SciERC,P5->P6,model_id+dataset+transition,delta_relation_exact_f1,100,-2.4840379344089333e-05,0.9998042943139083,1.0,0
mistral_7b_instruct_v03,SciERC,P5->P6,model_id+dataset+transition,abs_delta_relation_exact_f1,100,0.054914112148319906,0.5873730222004121,1.0,0
qwen3_8b,EBM-NLP,P1->P2,model_id+dataset+transition,delta_entity_exact_f1,191,0.03479614736404219,0.6327353586223186,1.0,0
