model_id,dataset,transition,field,variant,paired_documents,dropout_events,idr,idr_ci_low,idr_ci_high
gemma_3_12b_it,SciERC,P3->P4,OtherScientificTerm,valid_only,71,4,0.056338028169014086,0.014084507042253521,0.11267605633802817
gemma_3_12b_it,SciERC,P3->P4,OtherScientificTerm,inclusive,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P3->P4,Task,valid_only,71,6,0.08450704225352113,0.028169014084507043,0.15492957746478872
gemma_3_12b_it,SciERC,P3->P4,Task,inclusive,100,6,0.06,0.02,0.11
gemma_3_12b_it,SciERC,P3->P4,__ANY_FIELD__,valid_only,71,42,0.5915492957746479,0.4788732394366197,0.704225352112676
gemma_3_12b_it,SciERC,P3->P4,__ANY_FIELD__,inclusive,100,42,0.42,0.32,0.52
gemma_3_12b_it,SciERC,P4->P5,Generic,valid_only,100,19,0.19,0.12,0.27
gemma_3_12b_it,SciERC,P4->P5,Generic,inclusive,100,19,0.19,0.11,0.27
gemma_3_12b_it,SciERC,P4->P5,Material,valid_only,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P4->P5,Material,inclusive,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P4->P5,Method,valid_only,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P4->P5,Method,inclusive,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P4->P5,Metric,valid_only,100,7,0.07,0.03,0.12
gemma_3_12b_it,SciERC,P4->P5,Metric,inclusive,100,7,0.07,0.02,0.12
gemma_3_12b_it,SciERC,P4->P5,OtherScientificTerm,valid_only,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P4->P5,OtherScientificTerm,inclusive,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P4->P5,Task,valid_only,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P4->P5,Task,inclusive,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P4->P5,__ANY_FIELD__,valid_only,100,28,0.28,0.19,0.37
gemma_3_12b_it,SciERC,P4->P5,__ANY_FIELD__,inclusive,100,28,0.28,0.2,0.37
gemma_3_12b_it,SciERC,P5->P6,Generic,valid_only,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P5->P6,Generic,inclusive,100,4,0.04,0.01,0.08
gemma_3_12b_it,SciERC,P5->P6,Material,valid_only,100,2,0.02,0.0,0.05
gemma_3_12b_it,SciERC,P5->P6,Material,inclusive,100,2,0.02,0.0,0.05
gemma_3_12b_it,SciERC,P5->P6,Method,valid_only,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P5->P6,Method,inclusive,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P5->P6,Metric,valid_only,100,1,0.01,0.0,0.03
gemma_3_12b_it,SciERC,P5->P6,Metric,inclusive,100,1,0.01,0.0,0.03
gemma_3_12b_it,SciERC,P5->P6,OtherScientificTerm,valid_only,100,2,0.02,0.0,0.05
gemma_3_12b_it,SciERC,P5->P6,OtherScientificTerm,inclusive,100,2,0.02,0.0,0.05
gemma_3_12b_it,SciERC,P5->P6,Task,valid_only,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P5->P6,Task,inclusive,100,0,0.0,0.0,0.0
gemma_3_12b_it,SciERC,P5->P6,__ANY_FIELD__,valid_only,100,9,0.09,0.04,0.15
gemma_3_12b_it,SciERC,P5->P6,__ANY_FIELD__,inclusive,100,9,0.09,0.04,0.15
mistral_7b_instruct_v03,EBM-NLP,P1->P2,Intervention,valid_only,188,0,0.0,0.0,0.0
mistral_7b_instruct_v03,EBM-NLP,P1->P2,Intervention,inclusive,191,0,0.0,0.0,0.0
mistral_7b_instruct_v03,EBM-NLP,P1->P2,Outcome,valid_only,188,1,0.005319148936170213,0.0,0.015957446808510637
mistral_7b_instruct_v03,EBM-NLP,P1->P2,Outcome,inclusive,191,1,0.005235602094240838,0.0,0.015706806282722512
mistral_7b_instruct_v03,EBM-NLP,P1->P2,Participant,valid_only,188,1,0.005319148936170213,0.0,0.015957446808510637
mistral_7b_instruct_v03,EBM-NLP,P1->P2,Participant,inclusive,191,1,0.005235602094240838,0.0,0.015706806282722512
mistral_7b_instruct_v03,EBM-NLP,P1->P2,__ANY_FIELD__,valid_only,188,2,0.010638297872340425,0.0,0.026595744680851064
mistral_7b_instruct_v03,EBM-NLP,P1->P2,__ANY_FIELD__,inclusive,191,2,0.010471204188481676,0.0,0.02617801047120419
mistral_7b_instruct_v03,EBM-NLP,P2->P3,Intervention,valid_only,190,0,0.0,0.0,0.0
mistral_7b_instruct_v03,EBM-NLP,P2->P3,Intervention,inclusive,191,1,0.005235602094240838,0.0,0.015706806282722512
mistral_7b_instruct_v03,EBM-NLP,P2->P3,Outcome,valid_only,190,1,0.005263157894736842,0.0,0.015789473684210527
mistral_7b_instruct_v03,EBM-NLP,P2->P3,Outcome,inclusive,191,2,0.010471204188481676,0.0,0.02617801047120419
mistral_7b_instruct_v03,EBM-NLP,P2->P3,Participant,valid_only,190,0,0.0,0.0,0.0
mistral_7b_instruct_v03,EBM-NLP,P2->P3,Participant,inclusive,191,1,0.005235602094240838,0.0,0.015706806282722512
mistral_7b_instruct_v03,EBM-NLP,P2->P3,__ANY_FIELD__,valid_only,190,1,0.005263157894736842,0.0,0.015789473684210527
mistral_7b_instruct_v03,EBM-NLP,P2->P3,__ANY_FIELD__,inclusive,191,2,0.010471204188481676,0.0,0.02617801047120419
mistral_7b_instruct_v03,EBM-NLP,P3->P4,Intervention,valid_only,171,2,0.011695906432748537,0.0,0.029239766081871343
mistral_7b_instruct_v03,EBM-NLP,P3->P4,Intervention,inclusive,191,4,0.020942408376963352,0.005235602094240838,0.041884816753926704
mistral_7b_instruct_v03,EBM-NLP,P3->P4,Outcome,valid_only,171,53,0.30994152046783624,0.24561403508771928,0.38011695906432746
mistral_7b_instruct_v03,EBM-NLP,P3->P4,Outcome,inclusive,191,63,0.3298429319371728,0.2617801047120419,0.39790575916230364
mistral_7b_instruct_v03,EBM-NLP,P3->P4,Participant,valid_only,171,2,0.011695906432748537,0.0,0.029239766081871343
mistral_7b_instruct_v03,EBM-NLP,P3->P4,Participant,inclusive,191,4,0.020942408376963352,0.005235602094240838,0.041884816753926704
mistral_7b_instruct_v03,EBM-NLP,P3->P4,__ANY_FIELD__,valid_only,171,57,0.3333333333333333,0.2631578947368421,0.40350877192982454
mistral_7b_instruct_v03,EBM-NLP,P3->P4,__ANY_FIELD__,inclusive,191,67,0.3507853403141361,0.28272251308900526,0.418848167539267
mistral_7b_instruct_v03,EBM-NLP,P4->P5,Intervention,valid_only,166,0,0.0,0.0,0.0
mistral_7b_instruct_v03,EBM-NLP,P4->P5,Intervention,inclusive,191,0,0.0,0.0,0.0
mistral_7b_instruct_v03,EBM-NLP,P4->P5,Outcome,valid_only,166,30,0.18072289156626506,0.12048192771084337,0.24096385542168675
mistral_7b_instruct_v03,EBM-NLP,P4->P5,Outcome,inclusive,191,32,0.16753926701570682,0.11518324607329843,0.2198952879581152
mistral_7b_instruct_v03,EBM-NLP,P4->P5,Participant,valid_only,166,2,0.012048192771084338,0.0,0.030120481927710843
mistral_7b_instruct_v03,EBM-NLP,P4->P5,Participant,inclusive,191,3,0.015706806282722512,0.0,0.03664921465968586
mistral_7b_instruct_v03,EBM-NLP,P4->P5,__ANY_FIELD__,valid_only,166,32,0.1927710843373494,0.13253012048192772,0.25301204819277107
mistral_7b_instruct_v03,EBM-NLP,P4->P5,__ANY_FIELD__,inclusive,191,34,0.17801047120418848,0.1256544502617801,0.2356020942408377
mistral_7b_instruct_v03,EBM-NLP,P5->P6,Intervention,valid_only,182,1,0.005494505494505495,0.0,0.016483516483516484
mistral_7b_instruct_v03,EBM-NLP,P5->P6,Intervention,inclusive,191,1,0.005235602094240838,0.0,0.015706806282722512
mistral_7b_instruct_v03,EBM-NLP,P5->P6,Outcome,valid_only,182,22,0.12087912087912088,0.07692307692307693,0.17032967032967034
mistral_7b_instruct_v03,EBM-NLP,P5->P6,Outcome,inclusive,191,24,0.1256544502617801,0.08376963350785341,0.17801047120418848
mistral_7b_instruct_v03,EBM-NLP,P5->P6,Participant,valid_only,182,1,0.005494505494505495,0.0,0.016483516483516484
mistral_7b_instruct_v03,EBM-NLP,P5->P6,Participant,inclusive,191,1,0.005235602094240838,0.0,0.015706806282722512
