model_id,dataset,record_id,transitions,mean_psi,median_psi,p95_psi,max_psi,schema_breaks
gemma_3_12b_it,EBM-NLP,19727232,5,0.012586156527201334,0.019980053106943767,0.021127498149871825,0.021312495072682697,0
gemma_3_12b_it,EBM-NLP,19802506,5,0.20539342562357582,0.007457474867502849,0.8026666204134622,1.0,0
gemma_3_12b_it,EBM-NLP,20147856,5,0.015977950890858968,0.007842501004536947,0.03638796011606852,0.04052195946375529,0
gemma_3_12b_it,EBM-NLP,20189026,5,0.017109286785125733,0.01771758000055949,0.02428159713745117,0.02520112196604411,0
gemma_3_12b_it,EBM-NLP,20226474,5,0.018808086713155113,0.020057260990142822,0.03649565776189168,0.03991546233495077,0
gemma_3_12b_it,EBM-NLP,20509069,5,0.020579989751180014,0.017735878626505535,0.04288673003514607,0.04506490627924601,0
gemma_3_12b_it,EBM-NLP,20560622,5,0.010326608022054037,0.011640350023905436,0.013755746682484945,0.013921837011973063,0
gemma_3_12b_it,EBM-NLP,20618920,5,0.02043803135553996,0.02055180072784424,0.02699013551076253,0.027510643005371094,0
gemma_3_12b_it,EBM-NLP,2066441,5,0.019351911544799805,0.023370742797851562,0.02892825206120809,0.02924412488937378,0
gemma_3_12b_it,EBM-NLP,20739054,5,0.024412035942077637,0.015492737293243408,0.058490780989329014,0.06286662817001343,0
gemma_3_12b_it,EBM-NLP,20804366,5,0.017006699244181318,0.012230177720387777,0.03467478354771932,0.03467478354771932,0
gemma_3_12b_it,EBM-NLP,2088233,5,0.03356665372848511,0.04145864645640055,0.04821119705835978,0.04901252190272013,0
gemma_3_12b_it,EBM-NLP,20943715,5,0.004551215966542562,0.0010448694229125977,0.0134494145711263,0.015714704990386963,0
gemma_3_12b_it,EBM-NLP,21029638,5,0.014114578564961752,0.011255224545796713,0.027226165930430094,0.02791672945022583,0
gemma_3_12b_it,EBM-NLP,21106663,5,0.020469820499420165,0.016386806964874268,0.045270252227783206,0.04745312531789144,0
gemma_3_12b_it,EBM-NLP,21170734,5,0.04897733132044474,0.04379842678705851,0.06140940586725871,0.06388131777445476,0
gemma_3_12b_it,EBM-NLP,21211686,5,0.4130746603012085,0.0328792929649353,1.0,1.0,1
gemma_3_12b_it,EBM-NLP,21393467,5,0.012540006637573242,0.01042938232421875,0.02604556083679199,0.029091238975524902,0
