model_id,phase,condition,documents,json_valid_mean,json_valid_ci_low,json_valid_ci_high,schema_valid_mean,schema_valid_ci_low,schema_valid_ci_high,entity_exact_f1_mean,entity_exact_f1_ci_low,entity_exact_f1_ci_high,entity_partial_f1_mean,entity_partial_f1_ci_low,entity_partial_f1_ci_high,relation_exact_f1_mean,relation_exact_f1_ci_low,relation_exact_f1_ci_high,hallucinated_entity_rate_mean,hallucinated_entity_rate_ci_low,hallucinated_entity_rate_ci_high,truncated_at_limit_mean,truncated_at_limit_ci_low,truncated_at_limit_ci_high,prompt_tokens_mean,prompt_tokens_ci_low,prompt_tokens_ci_high,output_tokens_mean,output_tokens_ci_low,output_tokens_ci_high,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_ci_low,seconds_per_item_in_batch_ci_high
mistral_7b_instruct_v03,main,P2,307,1.0,1.0,1.0,0.8501628664495114,0.8078175895765473,0.8860749185667747,0.12174704337282333,0.10674981600299238,0.13694651155700563,0.22950665575092935,0.21057399420146383,0.2487117166239384,0.6282556126350518,0.5700212962221243,0.6815915513668571,0.0823097528559762,0.06611970670279478,0.0994534719809021,0.14006514657980457,0.10423452768729642,0.1791530944625407,748.7231270358307,643.8066775244299,871.2456026058633,425.43322475570034,395.7477198697068,458.1679153094462,76.42898770684046,71.08643991457649,82.23530974405543
mistral_7b_instruct_v03,main,P3,307,1.0,1.0,1.0,0.8403908794788274,0.8013029315960912,0.8827361563517915,0.11071078317823864,0.09710382984925926,0.1253757856364079,0.21710998060579997,0.19920022241093935,0.23449684310077856,0.6280436299250882,0.5755427674954037,0.6804016879255864,0.09062071160262479,0.07503997871877816,0.10718537002004985,0.1563517915309446,0.11726384364820847,0.19543973941368079,812.7231270358307,705.8250814332247,937.813273615635,415.628664495114,383.5190553745928,449.8504071661238,74.86460834527688,69.16496190390878,80.8924279977199
mistral_7b_instruct_v03,main,P4,307,1.0,1.0,1.0,0.8566775244299675,0.8143322475570032,0.8925081433224755,0.1475110382618398,0.13277440091409773,0.1628142677936432,0.23716895232291071,0.2192894749452808,0.2541710247643552,0.6343390907601644,0.5832336971543535,0.6852313733219232,0.037220759696329715,0.02753144193392563,0.047728043310290874,0.009771986970684038,0.0,0.02280130293159609,972.4885993485342,867.3852605863192,1091.803338762215,236.13029315960912,210.9032573289902,265.3257328990228,41.90663990553741,37.08804123371337,47.139914684609124
mistral_7b_instruct_v03,main,P5,307,1.0,1.0,1.0,0.9185667752442996,0.8859934853420195,0.9478827361563518,0.14586844220049797,0.12939431832924994,0.16261972956855666,0.22882932685822507,0.21069912272898106,0.24792385460815022,0.6319918822818075,0.578998741017496,0.6842143838673292,0.08184188503527538,0.060674233169224295,0.10500354113415347,0.026058631921824105,0.009771986970684038,0.04560260586319218,1350.6319218241042,1244.8986156351789,1475.5497557003255,240.59609120521174,209.06074918566776,275.3925081433224,42.3438607980456,36.78984009853418,48.410891810993455
mistral_7b_instruct_v03,main,P6,307,1.0,1.0,1.0,0.9381107491856677,0.9087947882736156,0.9641693811074918,0.1435141966622855,0.12829019992986473,0.15973264692203046,0.22514789976863128,0.20823286104538513,0.2436990788486888,0.6341020006382846,0.581727392457446,0.6871234590843691,0.05324208588243843,0.03903705698242487,0.07036592657305434,0.019543973941368076,0.006514657980456026,0.035830618892508145,1523.6319218241042,1417.3158794788274,1641.7914495114007,215.14006514657981,188.65447882736154,245.8423452768729,37.813456361563546,33.17058479397395,43.16056490651467
qwen3_8b,ablation,A2,200,1.0,1.0,1.0,0.92,0.88,0.955,0.2355011706343394,0.21066235462633726,0.26139503550948134,0.3040849366847216,0.2779693088530357,0.33184476672918894,0.46208408205519164,0.39696920703484484,0.5297675702660122,0.012769003284558876,0.006733319844556215,0.019946608554862525,0.095,0.055,0.135,1255.85,1118.2102499999999,1422.911375,460.175,398.998625,527.66575,12.346983805000002,9.981019508875,15.141586901749992
qwen3_8b,ablation,A3,200,1.0,1.0,1.0,0.82,0.76,0.8701249999999993,0.20543935821167003,0.18320455948328307,0.23019526354230746,0.29917934857715134,0.2722896650945729,0.3270796565019433,0.45048180702518664,0.3879823084790282,0.5167793443493939,0.04104348124953521,0.029418790580923018,0.05498476417253009,0.2,0.145,0.255,886.91,740.338375,1060.15275,559.62,507.65825,620.7742499999999,13.795360535000007,11.601488998625005,16.186142533875
qwen3_8b,ablation,A4,200,1.0,1.0,1.0,0.82,0.77,0.87,0.1922122644004851,0.17046664538816336,0.21352121175215832,0.2811422275407156,0.254719843030166,0.3075058512713229,0.44358737337781073,0.380676042918354,0.5088312666800864,0.025683043263925617,0.016139664624591096,0.0365280847216509,0.225,0.17,0.285,891.93,748.25325,1065.6029999999998,552.35,492.74812499999996,617.6378749999999,13.92374160500001,11.515681844250013,16.558523414000017
qwen3_8b,ablation,A5,200,1.0,1.0,1.0,0.85,0.8,0.895,0.2086869917621608,0.1860253688939869,0.23102037431412573,0.2951060105230167,0.26776958209082125,0.318641539597005,0.45080911469464424,0.38373861243327406,0.520159356395285,0.02621888385307503,0.017249296516392107,0.03789267702783328,0.19,0.135,0.25,1394.13,1251.9276249999998,1576.4901249999996,533.72,480.87775,588.6379999999999,13.539920949999994,11.58147089425,15.81456380099999
qwen3_8b,ablation,A6,200,1.0,1.0,1.0,0.77,0.705,0.825,0.2174298473089616,0.19267388326167292,0.24321537668152649,0.3112510219078977,0.2798663117108689,0.34165474551451347,0.45954605878666016,0.3962592814343778,0.5230037048531742,0.011924330306489745,0.00681112886243014,0.01791779376507995,0.3,0.235,0.36,1372.93,1228.5700000000002,1541.178375,613.475,554.4,676.481875,15.734738174999993,13.330510536750015,18.350675812625003
qwen3_8b,ablation_alias,A0,200,1.0,1.0,1.0,0.815,0.76,0.87,0.19242937605139315,0.17000988804705475,0.2152854910725635,0.28560311195155624,0.25948856475743676,0.31141137864070734,0.44329363994521676,0.379230214730403,0.5090332023640535,0.02615684315684316,0.016394591172716168,0.03794140598984348,0.235,0.175,0.295,792.93,648.6775,967.4268749999998,585.71,525.5831250000001,648.215375,14.541599864999993,12.158530217000001,17.157828905124994
qwen3_8b,ablation_alias,A1,200,1.0,1.0,1.0,0.92,0.88,0.955,0.25018240236259937,0.22533590163123515,0.27627231863829776,0.33484511095647224,0.30886583016753566,0.3610409872335075,0.4575596283319417,0.39409574698352356,0.5241056025126124,0.014035821041703391,0.008569485885846181,0.0206392507614934,0.145,0.1,0.195,966.91,824.7402500000001,1144.928875,474.245,406.77424999999994,547.803,12.743167705000003,10.153378144249997,15.637281443874997
qwen3_8b,main,P1,307,1.0,1.0,1.0,0.8794788273615635,0.8403908794788274,0.9153094462540716,0.1924882333736533,0.17644155834593012,0.2084548342629535,0.31136147693843697,0.2907683016502184,0.33092203535849674,0.6407488368785066,0.5867398071855333,0.6931188819167052,0.06399112137837211,0.051073610617005244,0.07788281377830436,0.1791530944625407,0.13680781758957655,0.2247557003257329,611.3811074918567,512.0610749185669,726.983631921824,506.3876221498371,463.1472312703583,552.701954397394,12.059135527687289,10.513523658957642,13.904290073941365
qwen3_8b,main,P2,307,1.0,1.0,1.0,0.9022801302931596,0.8697068403908795,0.9348534201954397,0.19292575978539206,0.17719094146246092,0.20856121860013024,0.3096145930401999,0.2903054475421645,0.3285607226779711,0.6402121199143105,0.5872688571711318,0.6916392203498124,0.04682851630731845,0.03491804995298052,0.0588872445624092,0.16612377850162866,0.1270358306188925,0.20529315960912006,655.3811074918567,554.4791530944626,768.85496742671,497.928338762215,456.86962540716615,541.8013029315961,11.761814537459285,10.297970184771984,13.4834223752443
qwen3_8b,main,P3,307,1.0,1.0,1.0,0.8762214983713354,0.8403908794788274,0.9120521172638436,0.18229687364431543,0.1659787241892366,0.19806681038465426,0.2969044868913853,0.2774314429736431,0.3154235577758203,0.6373248468698479,0.5831060028439617,0.6899665693667599,0.036887551464098695,0.027130507024643837,0.04791728866952808,0.19218241042345277,0.1498371335504886,0.23778501628664495,710.3811074918567,620.4862377850162,826.3444625407166,494.00651465798046,449.4436482084691,539.3885179153095,11.732735846905536,10.08586385236157,13.441927189332239
qwen3_8b,main,P4,307,1.0,1.0,1.0,0.9446254071661238,0.9185667752442996,0.9674267100977199,0.21519691892622123,0.1967199772741436,0.23486020403729482,0.3192879758284027,0.29986200223702775,0.33762016346559526,0.646618650379115,0.5956242885333676,0.6986328837314837,0.013534312320932057,0.008635842232564988,0.019465543334483734,0.11726384364820847,0.08469055374592833,0.1563517915309446,842.8925081433225,745.1105863192182,961.6335504885992,403.03583061889253,356.3479641693811,452.4867263843648,10.189300618892505,8.41894339096091,12.170731226954397
qwen3_8b,main,P5,307,1.0,1.0,1.0,0.9218241042345277,0.8892508143322475,0.9511400651465798,0.19514340358254512,0.177497662433257,0.21433563315000248,0.28804655505566107,0.2679787029785204,0.30801617810851106,0.6485502149081218,0.5985878623930785,0.699214052904486,0.012480448433217163,0.0073781971512020365,0.018401407111708408,0.15309446254071662,0.11400651465798045,0.19543973941368079,1151.6026058631921,1049.9598534201955,1270.5190553745927,414.06514657980455,367.4373778501629,461.9591205211726,10.485029224755701,8.823680673615636,12.323080372801291
qwen3_8b,main,P6,307,1.0,1.0,1.0,0.9283387622149837,0.8957654723127035,0.9543973941368078,0.20138552726634384,0.18436339027070336,0.21958792959437992,0.29851341992737424,0.2791373410483317,0.31861707055065847,0.6467068294564685,0.5938908465961581,0.6985152021158244,0.010882913684216618,0.006562755693456018,0.015975775739822968,0.17263843648208468,0.13029315960912052,0.2182410423452769,1298.6026058631921,1199.5184039087947,1411.039983713355,424.2931596091205,377.4025244299674,476.482328990228,10.943764618892507,9.164660286319215,12.93649363493485
