model_id,dataset,phase,condition,documents,json_valid_mean,json_valid_ci_low,json_valid_ci_high,schema_valid_mean,schema_valid_ci_low,schema_valid_ci_high,entity_exact_f1_mean,entity_exact_f1_ci_low,entity_exact_f1_ci_high,entity_partial_f1_mean,entity_partial_f1_ci_low,entity_partial_f1_ci_high,relation_exact_f1_mean,relation_exact_f1_ci_low,relation_exact_f1_ci_high,hallucinated_entity_rate_mean,hallucinated_entity_rate_ci_low,hallucinated_entity_rate_ci_high,truncated_at_limit_mean,truncated_at_limit_ci_low,truncated_at_limit_ci_high,prompt_tokens_mean,prompt_tokens_ci_low,prompt_tokens_ci_high,output_tokens_mean,output_tokens_ci_low,output_tokens_ci_high,seconds_per_item_in_batch_mean,seconds_per_item_in_batch_ci_low,seconds_per_item_in_batch_ci_high
gemma_3_12b_it,SciERC,ablation,A6,100,1.0,1.0,1.0,0.97,0.93,1.0,0.38446983634417153,0.3496692782455102,0.4187154988443537,0.4427934643309544,0.4077512257378752,0.4782856052267672,0.10610045195840762,0.0839332121167201,0.12915760581247127,0.005251577087315627,0.001508478081058726,0.009928392543364948,1.0,1.0,1.0,1370.76,1358.809,1383.1705000000002,768.0,768.0,768.0,34.564115799999996,34.342268874,34.78774404975001
gemma_3_12b_it,SciERC,ablation_alias,A0,100,1.0,1.0,1.0,0.71,0.62,0.8,0.22672063460631503,0.18754055177221163,0.26674898011709364,0.2682181109067507,0.22523728149912403,0.3102725979156092,0.044565822976174306,0.02788277931704705,0.06357784414064865,0.003246965452847806,0.000588235294117647,0.00681174136321195,1.0,1.0,1.0,470.76,459.6075,482.32025,768.0,768.0,768.0,30.97234821000001,30.67850920025,31.284927578249995
gemma_3_12b_it,SciERC,ablation_alias,A1,100,1.0,1.0,1.0,1.0,1.0,1.0,0.361709768317708,0.33501054145667325,0.38820209383303694,0.41806106873901305,0.3886915279094126,0.4477438175347194,0.11344284019610074,0.08703524373566492,0.14137974301814776,0.005216750153821092,0.0021764438338379988,0.008781268935266361,1.0,1.0,1.0,755.76,744.99925,767.151,768.0,768.0,768.0,32.7842558,32.54232069700001,33.043596208
gemma_3_12b_it,SciERC,main,P1,100,1.0,1.0,1.0,0.57,0.47,0.66,0.1891380440839879,0.14923007744305306,0.23173749280432054,0.21892183977914775,0.17218104388270922,0.26728871131446524,0.047055740007886995,0.030628766840744396,0.06601918973475038,0.003890145801910508,0.0008333333333333333,0.007780291603821017,1.0,1.0,1.0,361.76,350.409,373.86499999999995,768.0,768.0,768.0,30.95630102999999,30.617253647249985,31.309868321499998
gemma_3_12b_it,SciERC,main,P2,100,1.0,1.0,1.0,0.67,0.58,0.76,0.2081313453874198,0.16691667258820744,0.2472748946764634,0.24941993285560524,0.2017639659556562,0.2954470609340331,0.05399757847358466,0.036244717224496625,0.07463359334737045,0.0019444444444444442,0.0,0.004999999999999999,1.0,1.0,1.0,411.76,399.99,423.85025,768.0,768.0,768.0,30.75001658,30.443258739750007,31.056198818000023
gemma_3_12b_it,SciERC,main,P3,100,1.0,1.0,1.0,0.71,0.62,0.8,0.22672063460631503,0.19120271957873983,0.26808722909307126,0.2682181109067507,0.22470034156037472,0.3135739340049753,0.044565822976174306,0.027181277339791265,0.06421875925464732,0.003246965452847806,0.000588235294117647,0.006859068627450975,1.0,1.0,1.0,470.76,459.5585,482.55025,768.0,768.0,768.0,30.97234821000001,30.678875552749993,31.28285571775
gemma_3_12b_it,SciERC,main,P4,100,1.0,1.0,1.0,1.0,1.0,1.0,0.361709768317708,0.3345078788778027,0.39084788347468996,0.41806106873901305,0.38887994288941313,0.4477617488835867,0.11344284019610074,0.08680139068840773,0.14025285970848617,0.005216750153821092,0.0020833333333333333,0.008983096620146102,1.0,1.0,1.0,755.76,744.04925,766.94425,768.0,768.0,768.0,32.7842558,32.52460288949999,33.042780169749996
gemma_3_12b_it,SciERC,main,P5,100,1.0,1.0,1.0,1.0,1.0,1.0,0.4076969023781379,0.37605037813755327,0.43848607608556206,0.46558197696749093,0.4348925411390682,0.4971010442392019,0.10702658909015811,0.08387051990521484,0.13155266708742652,0.005714697138610182,0.001973244147157191,0.010235049702712742,1.0,1.0,1.0,1347.76,1336.5297500000001,1359.9205,768.0,768.0,768.0,34.387101040000005,34.16741498300001,34.59484395925003
gemma_3_12b_it,SciERC,main,P6,100,1.0,1.0,1.0,1.0,1.0,1.0,0.39280105969682777,0.3638320628689786,0.4219717326111035,0.44800732616667377,0.4181660529016572,0.48086089574706065,0.10476698235086009,0.07860062288533774,0.13404065275316082,0.008255012817083756,0.0037770835595563857,0.01340804317964644,1.0,1.0,1.0,1511.76,1500.4475,1523.53,768.0,768.0,768.0,34.84374160000001,34.6238334875,35.04240813
mistral_7b_instruct_v03,EBM-NLP,ablation,A2,84,1.0,1.0,1.0,0.9047619047619048,0.8449404761904762,0.9642857142857143,0.08156618556832011,0.0672672954473872,0.09669175553799651,0.16795720479656417,0.14823897052820562,0.18936456500631066,1.0,1.0,1.0,0.03916587102677328,0.016598005430242268,0.06635424125790663,0.0,0.0,0.0,871.4642857142857,838.6863095238095,902.3877976190475,100.72619047619048,85.52172619047619,119.03869047619045,17.919085119047615,15.286539517261904,21.314669452083333
mistral_7b_instruct_v03,EBM-NLP,ablation,A3,84,1.0,1.0,1.0,0.9880952380952381,0.9642857142857143,1.0,0.13350358771136983,0.11296747012089518,0.15383726493677635,0.2891211337380358,0.26336050538281963,0.31374225508210307,1.0,1.0,1.0,0.09069913221698936,0.06402892700883772,0.118141102862085,0.0,0.0,0.0,707.4642857142857,676.2327380952381,739.8119047619048,247.86904761904762,226.53452380952382,270.5002976190476,44.51467386904763,40.495697961011906,48.72370758511905
mistral_7b_instruct_v03,EBM-NLP,ablation,A4,84,1.0,1.0,1.0,1.0,1.0,1.0,0.12294607458937792,0.10333614676374345,0.1437322497454566,0.2509447899570303,0.2256223718226983,0.2776875726640944,1.0,1.0,1.0,0.0917847694633409,0.059937641723356014,0.1273154053287982,0.0,0.0,0.0,758.4642857142857,723.9511904761904,790.5877976190477,206.71428571428572,186.37916666666666,229.12351190476187,36.94070233333331,33.1559301610119,40.71032680744046
mistral_7b_instruct_v03,EBM-NLP,ablation,A5,84,1.0,1.0,1.0,1.0,1.0,1.0,0.12249439490967998,0.10011395754237343,0.14626133384181098,0.27156443154348625,0.2432385614611199,0.300739328293371,1.0,1.0,1.0,0.11061121418264272,0.07861553459767745,0.14516997139764992,0.0,0.0,0.0,1036.4642857142858,1002.5392857142857,1069.6744047619047,220.95238095238096,201.02291666666667,240.5842261904762,38.93994234523809,35.52860897232143,42.52669335684525
mistral_7b_instruct_v03,EBM-NLP,ablation,A6,84,1.0,1.0,1.0,0.9761904761904762,0.9404761904761905,1.0,0.11391319151005648,0.09246664580694136,0.1370053522310525,0.23633573059817886,0.20688134836181965,0.2655481747010886,1.0,1.0,1.0,0.050121945375704774,0.03070318348631318,0.07418922373574628,0.03571428571428571,0.0,0.08333333333333333,956.4642857142857,922.1639880952381,990.0363095238096,254.10714285714286,216.37857142857143,295.10238095238094,44.70773332142857,37.78559260297619,52.22867955952381
mistral_7b_instruct_v03,EBM-NLP,ablation_alias,A0,84,1.0,1.0,1.0,1.0,1.0,1.0,0.10781508742522233,0.0886827351179947,0.12794012051576303,0.2595867015409091,0.2330286077077695,0.2857060335204306,1.0,1.0,1.0,0.12638205048919332,0.09433587741623455,0.15847024585863867,0.0,0.0,0.0,644.4642857142857,612.0074404761905,678.5172619047619,225.76190476190476,206.83065476190478,245.9404761904762,40.56682373809525,37.24219210654761,44.156202948809515
